Date,Station,Category,Value
2010-01-01,Changi,Max Temperature,32.0
2010-01-02,Changi,Max Temperature,32.0
2010-01-03,Changi,Max Humidity,100.0
2010-01-06,Changi,Max Humidity,100.0
2010-01-07,Changi,Max Humidity,100.0
2010-01-10,Changi,Max Temperature,32.0
2010-01-10,Changi,Min Humidity,49.1
2010-01-11,Changi,Max Temperature,32.0
2010-01-12,Changi,Max Temperature,32.0
2010-01-17,Changi,Max Temperature,32.0
2010-01-19,Changi,Min Temperature,23.0
2010-01-19,Changi,Max Humidity,100.0
2010-01-20,Changi,Min Temperature,23.0
2010-01-20,Changi,Max Humidity,100.0
2010-01-22,Changi,Min Temperature,23.0
2010-01-22,Changi,Max Humidity,100.0
2010-01-23,Changi,Max Temperature,32.0
2010-01-26,Changi,Max Temperature,32.0
2010-01-29,Changi,Max Temperature,32.0
2010-01-30,Changi,Max Temperature,32.0
2010-01-31,Changi,Max Temperature,32.0
2010-02-02,Changi,Min Temperature,25.0
2010-02-17,Changi,Max Humidity,100.0
2010-02-19,Changi,Min Temperature,25.0
2010-02-24,Changi,Max Temperature,35.0
2010-02-24,Changi,Min Humidity,46.93
2010-02-25,Changi,Max Humidity,100.0
2010-02-26,Changi,Max Temperature,35.0
2010-03-03,Changi,Max Temperature,35.0
2010-03-04,Changi,Max Temperature,35.0
2010-03-05,Changi,Min Humidity,46.67
2010-03-06,Changi,Max Temperature,35.0
2010-03-07,Changi,Max Temperature,35.0
2010-03-08,Changi,Max Temperature,35.0
2010-03-09,Changi,Max Temperature,35.0
2010-03-10,Changi,Max Humidity,100.0
2010-03-11,Changi,Min Humidity,46.67
2010-03-17,Changi,Min Humidity,46.67
2010-03-18,Changi,Min Temperature,23.0
2010-03-18,Changi,Max Humidity,100.0
2010-03-19,Changi,Max Humidity,100.0
2010-03-20,Changi,Max Humidity,100.0
2010-03-21,Changi,Max Humidity,100.0
2010-03-23,Changi,Max Humidity,100.0
2010-03-24,Changi,Max Humidity,100.0
2010-03-25,Changi,Max Humidity,100.0
2010-03-26,Changi,Max Humidity,100.0
2010-03-31,Changi,Max Humidity,100.0
2010-04-01,Changi,Max Humidity,100.0
2010-04-02,Changi,Max Humidity,100.0
2010-04-03,Changi,Max Humidity,100.0
2010-04-04,Changi,Min Temperature,23.0
2010-04-04,Changi,Max Humidity,100.0
2010-04-05,Changi,Max Humidity,100.0
2010-04-06,Changi,Min Humidity,55.77
2010-04-07,Changi,Max Temperature,34.0
2010-04-08,Changi,Max Humidity,100.0
2010-04-09,Changi,Max Temperature,34.0
2010-04-11,Changi,Max Temperature,34.0
2010-04-11,Changi,Max Humidity,100.0
2010-04-12,Changi,Max Temperature,34.0
2010-04-12,Changi,Max Humidity,100.0
2010-04-13,Changi,Max Temperature,34.0
2010-04-13,Changi,Max Humidity,100.0
2010-04-14,Changi,Max Humidity,100.0
2010-04-15,Changi,Max Temperature,34.0
2010-04-15,Changi,Max Humidity,100.0
2010-04-17,Changi,Max Temperature,34.0
2010-04-17,Changi,Max Humidity,100.0
2010-04-19,Changi,Max Humidity,100.0
2010-04-20,Changi,Max Humidity,100.0
2010-04-21,Changi,Max Humidity,100.0
2010-04-22,Changi,Max Humidity,100.0
2010-04-23,Changi,Max Temperature,34.0
2010-04-25,Changi,Max Humidity,100.0
2010-04-26,Changi,Max Humidity,100.0
2010-04-27,Changi,Max Humidity,100.0
2010-04-30,Changi,Max Temperature,34.0
2010-04-30,Changi,Max Humidity,100.0
2010-05-07,Changi,Max Temperature,35.0
2010-05-07,Changi,Min Humidity,49.87
2010-05-08,Changi,Max Temperature,35.0
2010-05-08,Changi,Max Humidity,100.0
2010-05-09,Changi,Max Humidity,100.0
2010-05-10,Changi,Max Humidity,100.0
2010-05-11,Changi,Max Humidity,100.0
2010-05-12,Changi,Max Humidity,100.0
2010-05-13,Changi,Max Humidity,100.0
2010-05-14,Changi,Max Humidity,100.0
2010-05-15,Changi,Max Humidity,100.0
2010-05-16,Changi,Max Temperature,35.0
2010-05-16,Changi,Min Temperature,23.0
2010-05-16,Changi,Max Humidity,100.0
2010-05-17,Changi,Min Temperature,23.0
2010-05-17,Changi,Max Humidity,100.0
2010-05-18,Changi,Max Humidity,100.0
2010-05-19,Changi,Max Humidity,100.0
2010-05-21,Changi,Max Humidity,100.0
2010-05-22,Changi,Max Humidity,100.0
2010-05-29,Changi,Max Humidity,100.0
2010-05-31,Changi,Max Humidity,100.0
2010-06-01,Changi,Max Temperature,33.0
2010-06-01,Changi,Max Humidity,100.0
2010-06-01,Changi,Min Humidity,52.48
2010-06-02,Changi,Max Humidity,100.0
2010-06-03,Changi,Max Temperature,33.0
2010-06-06,Changi,Max Temperature,33.0
2010-06-06,Changi,Max Humidity,100.0
2010-06-08,Changi,Max Humidity,100.0
2010-06-09,Changi,Max Temperature,33.0
2010-06-09,Changi,Max Humidity,100.0
2010-06-11,Changi,Max Temperature,33.0
2010-06-12,Changi,Max Temperature,33.0
2010-06-13,Changi,Max Temperature,33.0
2010-06-13,Changi,Max Humidity,100.0
2010-06-15,Changi,Max Humidity,100.0
2010-06-16,Changi,Min Temperature,23.0
2010-06-16,Changi,Max Humidity,100.0
2010-06-20,Changi,Max Humidity,100.0
2010-06-23,Changi,Max Humidity,100.0
2010-06-25,Changi,Max Humidity,100.0
2010-06-27,Changi,Max Humidity,100.0
2010-06-30,Changi,Max Humidity,100.0
2010-07-01,Changi,Max Humidity,100.0
2010-07-02,Changi,Max Humidity,100.0
2010-07-03,Changi,Max Humidity,100.0
2010-07-04,Changi,Max Humidity,100.0
2010-07-07,Changi,Max Temperature,33.0
2010-07-07,Changi,Min Humidity,49.36
2010-07-10,Changi,Max Humidity,100.0
2010-07-11,Changi,Max Temperature,33.0
2010-07-11,Changi,Max Humidity,100.0
2010-07-12,Changi,Max Humidity,100.0
2010-07-16,Changi,Max Humidity,100.0
2010-07-17,Changi,Min Temperature,23.0
2010-07-17,Changi,Max Humidity,100.0
2010-07-18,Changi,Max Humidity,100.0
2010-07-20,Changi,Max Humidity,100.0
2010-07-21,Changi,Max Humidity,100.0
2010-07-22,Changi,Max Humidity,100.0
2010-07-23,Changi,Max Humidity,100.0
2010-07-24,Changi,Max Humidity,100.0
2010-07-26,Changi,Max Humidity,100.0
2010-07-30,Changi,Max Humidity,100.0
2010-08-01,Changi,Min Temperature,23.0
2010-08-01,Changi,Max Humidity,100.0
2010-08-03,Changi,Max Humidity,100.0
2010-08-04,Changi,Max Humidity,100.0
2010-08-10,Changi,Max Humidity,100.0
2010-08-11,Changi,Max Humidity,100.0
2010-08-12,Changi,Max Humidity,100.0
2010-08-13,Changi,Max Humidity,100.0
2010-08-14,Changi,Max Humidity,100.0
2010-08-16,Changi,Max Humidity,100.0
2010-08-17,Changi,Max Humidity,100.0
2010-08-18,Changi,Max Humidity,100.0
2010-08-19,Changi,Max Humidity,100.0
2010-08-20,Changi,Min Temperature,23.0
2010-08-20,Changi,Max Humidity,100.0
2010-08-21,Changi,Max Humidity,100.0
2010-08-22,Changi,Max Temperature,33.0
2010-08-23,Changi,Max Humidity,100.0
2010-08-24,Changi,Max Temperature,33.0
2010-08-24,Changi,Max Humidity,100.0
2010-08-26,Changi,Max Humidity,100.0
2010-08-28,Changi,Min Humidity,49.1
2010-08-30,Changi,Max Humidity,100.0
2010-08-31,Changi,Max Humidity,100.0
2010-09-01,Changi,Max Temperature,33.0
2010-09-05,Changi,Min Temperature,23.0
2010-09-05,Changi,Max Humidity,100.0
2010-09-06,Changi,Max Humidity,100.0
2010-09-07,Changi,Max Humidity,100.0
2010-09-08,Changi,Max Humidity,100.0
2010-09-09,Changi,Max Temperature,33.0
2010-09-09,Changi,Min Humidity,49.1
2010-09-11,Changi,Max Humidity,100.0
2010-09-14,Changi,Max Temperature,33.0
2010-09-17,Changi,Max Humidity,100.0
2010-09-19,Changi,Max Humidity,100.0
2010-09-20,Changi,Max Temperature,33.0
2010-09-22,Changi,Max Temperature,33.0
2010-09-22,Changi,Max Humidity,100.0
2010-09-24,Changi,Max Humidity,100.0
2010-09-25,Changi,Max Humidity,100.0
2010-09-26,Changi,Max Humidity,100.0
2010-09-27,Changi,Max Humidity,100.0
2010-09-28,Changi,Max Humidity,100.0
2010-09-29,Changi,Max Temperature,33.0
2010-09-30,Changi,Max Humidity,100.0
2010-10-01,Changi,Max Humidity,100.0
2010-10-03,Changi,Max Humidity,100.0
2010-10-05,Changi,Max Humidity,100.0
2010-10-08,Changi,Max Humidity,100.0
2010-10-09,Changi,Max Humidity,100.0
2010-10-13,Changi,Max Humidity,100.0
2010-10-15,Changi,Max Temperature,34.0
2010-10-15,Changi,Min Humidity,43.88
2010-10-16,Changi,Max Temperature,34.0
2010-10-20,Changi,Max Humidity,100.0
2010-10-23,Changi,Max Humidity,100.0
2010-10-26,Changi,Max Humidity,100.0
2010-10-28,Changi,Max Humidity,100.0
2010-10-30,Changi,Min Temperature,23.0
2010-10-30,Changi,Max Humidity,100.0
2010-11-01,Changi,Max Humidity,100.0
2010-11-02,Changi,Max Humidity,100.0
2010-11-03,Changi,Max Temperature,33.0
2010-11-03,Changi,Max Humidity,100.0
2010-11-03,Changi,Min Humidity,52.23
2010-11-05,Changi,Max Humidity,100.0
2010-11-06,Changi,Max Humidity,100.0
2010-11-07,Changi,Max Humidity,100.0
2010-11-08,Changi,Max Humidity,100.0
2010-11-09,Changi,Max Humidity,100.0
2010-11-11,Changi,Max Humidity,100.0
2010-11-12,Changi,Max Humidity,100.0
2010-11-13,Changi,Max Humidity,100.0
2010-11-14,Changi,Max Humidity,100.0
2010-11-15,Changi,Max Humidity,100.0
2010-11-16,Changi,Max Humidity,100.0
2010-11-17,Changi,Max Humidity,100.0
2010-11-18,Changi,Max Humidity,100.0
2010-11-19,Changi,Max Temperature,33.0
2010-11-19,Changi,Max Humidity,100.0
2010-11-20,Changi,Max Humidity,100.0
2010-11-21,Changi,Max Temperature,33.0
2010-11-21,Changi,Max Humidity,100.0
2010-11-22,Changi,Max Temperature,33.0
2010-11-22,Changi,Max Humidity,100.0
2010-11-23,Changi,Max Temperature,33.0
2010-11-23,Changi,Max Humidity,100.0
2010-11-24,Changi,Max Humidity,100.0
2010-11-25,Changi,Min Temperature,23.0
2010-11-25,Changi,Max Humidity,100.0
2010-11-26,Changi,Max Humidity,100.0
2010-11-27,Changi,Max Temperature,33.0
2010-11-29,Changi,Max Humidity,100.0
2010-11-30,Changi,Max Humidity,100.0
2010-12-01,Changi,Max Humidity,100.0
2010-12-02,Changi,Min Temperature,23.0
2010-12-02,Changi,Max Humidity,100.0
2010-12-03,Changi,Max Humidity,100.0
2010-12-04,Changi,Max Humidity,100.0
2010-12-05,Changi,Max Temperature,33.0
2010-12-05,Changi,Min Humidity,52.23
2010-12-06,Changi,Max Temperature,33.0
2010-12-06,Changi,Max Humidity,100.0
2010-12-07,Changi,Max Humidity,100.0
2010-12-11,Changi,Max Humidity,100.0
2010-12-12,Changi,Max Temperature,33.0
2010-12-12,Changi,Max Humidity,100.0
2010-12-12,Changi,Min Humidity,52.23
2010-12-13,Changi,Max Humidity,100.0
2010-12-14,Changi,Max Humidity,100.0
2010-12-15,Changi,Max Humidity,100.0
2010-12-16,Changi,Max Humidity,100.0
2010-12-19,Changi,Max Humidity,100.0
2010-12-23,Changi,Max Humidity,100.0
2010-12-25,Changi,Min Temperature,23.0
2010-12-25,Changi,Max Humidity,100.0
2010-12-26,Changi,Max Humidity,100.0
2010-12-31,Changi,Max Humidity,100.0
2020-01-06,Changi,Min Temperature,24.0
2020-01-06,Changi,Max Humidity,100.0
2020-01-07,Changi,Min Temperature,24.0
2020-01-07,Changi,Max Humidity,100.0
2020-01-10,Changi,Min Temperature,24.0
2020-01-17,Changi,Max Temperature,33.0
2020-01-19,Changi,Min Humidity,48.84
2020-01-21,Changi,Min Temperature,24.0
2020-01-21,Changi,Max Humidity,100.0
2020-01-26,Changi,Max Temperature,33.0
2020-01-29,Changi,Min Temperature,24.0
2020-01-30,Changi,Min Temperature,24.0
2020-02-09,Changi,Min Temperature,24.0
2020-02-10,Changi,Min Temperature,24.0
2020-02-11,Changi,Max Humidity,100.0
2020-02-12,Changi,Max Humidity,100.0
2020-02-17,Changi,Max Temperature,33.0
2020-02-17,Changi,Min Humidity,46.41
2020-02-18,Changi,Min Temperature,24.0
2020-03-07,Changi,Max Temperature,34.0
2020-03-07,Changi,Max Humidity,100.0
2020-03-11,Changi,Max Temperature,34.0
2020-03-13,Changi,Max Temperature,34.0
2020-03-23,Changi,Min Temperature,24.0
2020-03-23,Changi,Max Humidity,100.0
2020-03-24,Changi,Max Humidity,100.0
2020-03-27,Changi,Max Temperature,34.0
2020-03-30,Changi,Max Temperature,34.0
2020-03-31,Changi,Max Temperature,34.0
2020-03-31,Changi,Min Humidity,46.67
2020-04-02,Changi,Max Temperature,34.0
2020-04-02,Changi,Max Humidity,100.0
2020-04-03,Changi,Min Temperature,24.0
2020-04-03,Changi,Max Humidity,100.0
2020-04-04,Changi,Max Temperature,34.0
2020-04-07,Changi,Min Temperature,24.0
2020-04-08,Changi,Min Temperature,24.0
2020-04-15,Changi,Max Temperature,34.0
2020-04-19,Changi,Max Temperature,34.0
2020-04-19,Changi,Min Humidity,49.62
2020-04-20,Changi,Max Temperature,34.0
2020-04-22,Changi,Max Temperature,34.0
2020-04-22,Changi,Min Humidity,49.62
2020-04-24,Changi,Max Temperature,34.0
2020-05-01,Changi,Max Humidity,100.0
2020-05-05,Changi,Max Temperature,34.0
2020-05-05,Changi,Max Humidity,100.0
2020-05-06,Changi,Min Temperature,24.0
2020-05-06,Changi,Max Humidity,100.0
2020-05-07,Changi,Min Humidity,52.48
2020-05-08,Changi,Min Temperature,24.0
2020-05-08,Changi,Max Humidity,100.0
2020-05-11,Changi,Max Humidity,100.0
2020-05-17,Changi,Max Humidity,100.0
2020-05-20,Changi,Max Humidity,100.0
2020-05-21,Changi,Max Temperature,34.0
2020-05-26,Changi,Min Humidity,52.48
2020-05-27,Changi,Min Temperature,24.0
2020-05-27,Changi,Max Humidity,100.0
2020-06-01,Changi,Max Humidity,100.0
2020-06-05,Changi,Min Temperature,24.0
2020-06-05,Changi,Max Humidity,100.0
2020-06-07,Changi,Min Humidity,55.53
2020-06-08,Changi,Max Temperature,33.0
2020-06-10,Changi,Min Temperature,24.0
2020-06-11,Changi,Max Temperature,33.0
2020-06-19,Changi,Max Humidity,100.0
2020-06-20,Changi,Min Temperature,24.0
2020-06-20,Changi,Max Humidity,100.0
2020-06-22,Changi,Min Temperature,24.0
2020-06-23,Changi,Min Temperature,24.0
2020-07-03,Changi,Max Temperature,32.0
2020-07-03,Changi,Min Humidity,55.53
