Date,Station,Category,Value
2003-04-01,Changi,Max Humidity,100.0
2003-04-02,Changi,Max Humidity,100.0
2003-04-03,Changi,Max Temperature,33.0
2003-04-03,Changi,Max Humidity,100.0
2003-04-04,Changi,Max Temperature,33.0
2003-04-04,Changi,Min Temperature,24.0
2003-04-04,Changi,Max Humidity,100.0
2003-04-05,Changi,Max Temperature,33.0
2003-04-05,Changi,Max Humidity,100.0
2003-04-06,Changi,Max Humidity,100.0
2003-04-07,Changi,Max Temperature,33.0
2003-04-08,Changi,Max Humidity,100.0
2003-04-09,Changi,Max Humidity,100.0
2003-04-10,Changi,Max Humidity,100.0
2003-04-11,Changi,Max Humidity,100.0
2003-04-13,Changi,Max Humidity,100.0
2003-04-14,Changi,Max Humidity,100.0
2003-04-15,Changi,Max Humidity,100.0
2003-04-16,Changi,Max Humidity,100.0
2003-04-17,Changi,Max Humidity,100.0
2003-04-18,Changi,Max Humidity,100.0
2003-04-19,Changi,Max Humidity,100.0
2003-04-20,Changi,Max Humidity,100.0
2003-04-22,Changi,Max Humidity,100.0
2003-04-23,Changi,Max Humidity,100.0
2003-04-25,Changi,Max Temperature,33.0
2003-04-27,Changi,Max Temperature,33.0
2003-04-27,Changi,Min Humidity,52.48
2003-04-29,Changi,Max Temperature,33.0
2003-04-29,Changi,Max Humidity,100.0
2003-01-01,Changi,Max Temperature,32.0
2003-01-01,Changi,Max Humidity,100.0
2003-01-02,Changi,Max Temperature,32.0
2003-01-02,Changi,Max Humidity,100.0
2003-01-03,Changi,Min Temperature,24.0
2003-01-03,Changi,Max Humidity,100.0
2003-01-04,Changi,Min Temperature,24.0
2003-01-04,Changi,Max Humidity,100.0
2003-01-05,Changi,Max Humidity,100.0
2003-01-06,Changi,Max Humidity,100.0
2003-01-07,Changi,Max Humidity,100.0
2003-01-08,Changi,Min Temperature,24.0
2003-01-08,Changi,Max Humidity,100.0
2003-01-09,Changi,Min Humidity,55.04
2003-01-11,Changi,Min Temperature,24.0
2003-01-11,Changi,Max Humidity,100.0
2003-01-12,Changi,Min Temperature,24.0
2003-01-12,Changi,Max Humidity,100.0
2003-01-15,Changi,Max Temperature,32.0
2003-01-16,Changi,Max Humidity,100.0
2003-01-18,Changi,Max Humidity,100.0
2003-01-19,Changi,Min Temperature,24.0
2003-01-19,Changi,Max Humidity,100.0
2003-01-20,Changi,Max Humidity,100.0
2003-01-23,Changi,Max Humidity,100.0
2003-01-26,Changi,Max Temperature,32.0
2003-01-30,Changi,Min Temperature,24.0
2003-01-30,Changi,Max Humidity,100.0
2003-01-31,Changi,Min Temperature,24.0
2003-01-31,Changi,Max Humidity,100.0
2003-02-01,Changi,Min Temperature,24.0
2003-02-01,Changi,Max Humidity,100.0
2003-02-02,Changi,Max Humidity,100.0
2003-02-03,Changi,Min Temperature,24.0
2003-02-03,Changi,Max Humidity,100.0
2003-02-05,Changi,Min Temperature,24.0
2003-02-05,Changi,Max Humidity,100.0
2003-02-07,Changi,Min Temperature,24.0
2003-02-07,Changi,Max Humidity,100.0
2003-02-08,Changi,Min Temperature,24.0
2003-02-08,Changi,Max Humidity,100.0
2003-02-09,Changi,Max Temperature,32.0
2003-02-09,Changi,Max Humidity,100.0
2003-02-10,Changi,Max Humidity,100.0
2003-02-11,Changi,Max Temperature,32.0
2003-02-16,Changi,Min Temperature,24.0
2003-02-16,Changi,Max Humidity,100.0
2003-02-17,Changi,Max Temperature,32.0
2003-02-17,Changi,Min Temperature,24.0
2003-02-17,Changi,Max Humidity,100.0
2003-02-19,Changi,Min Temperature,24.0
2003-02-22,Changi,Max Temperature,32.0
2003-02-23,Changi,Max Temperature,32.0
2003-02-23,Changi,Min Humidity,58.78
2003-02-24,Changi,Max Temperature,32.0
2003-02-25,Changi,Max Temperature,32.0
2003-02-26,Changi,Max Temperature,32.0
2003-02-28,Changi,Max Temperature,32.0
2003-03-02,Changi,Max Temperature,33.0
2003-03-03,Changi,Max Humidity,100.0
2003-03-04,Changi,Max Temperature,33.0
2003-03-04,Changi,Max Humidity,100.0
2003-03-05,Changi,Max Humidity,100.0
2003-03-06,Changi,Max Humidity,100.0
2003-03-07,Changi,Max Temperature,33.0
2003-03-08,Changi,Max Temperature,33.0
2003-03-08,Changi,Min Temperature,23.0
2003-03-08,Changi,Max Humidity,100.0
2003-03-09,Changi,Max Humidity,100.0
2003-03-13,Changi,Max Humidity,100.0
2003-03-14,Changi,Max Humidity,100.0
2003-03-16,Changi,Min Humidity,55.53
2003-03-18,Changi,Max Temperature,33.0
2003-03-22,Changi,Max Temperature,33.0
2003-03-26,Changi,Max Humidity,100.0
2003-03-27,Changi,Max Humidity,100.0
2003-03-30,Changi,Max Humidity,100.0
2003-03-31,Changi,Max Humidity,100.0
2003-05-01,Changi,Max Humidity,100.0
2003-05-02,Changi,Max Humidity,100.0
2003-05-03,Changi,Max Humidity,100.0
2003-05-06,Changi,Max Humidity,100.0
2003-05-07,Changi,Max Humidity,100.0
2003-05-08,Changi,Max Humidity,100.0
2003-05-10,Changi,Max Humidity,100.0
2003-05-11,Changi,Max Humidity,100.0
2003-05-13,Changi,Max Humidity,100.0
2003-05-14,Changi,Min Temperature,24.0
2003-05-14,Changi,Max Humidity,100.0
2003-05-17,Changi,Max Temperature,34.0
2003-05-19,Changi,Max Temperature,34.0
2003-05-19,Changi,Max Humidity,100.0
2003-05-19,Changi,Min Humidity,43.88
2003-05-20,Changi,Max Temperature,34.0
2003-05-20,Changi,Max Humidity,100.0
2003-05-24,Changi,Max Temperature,34.0
2003-05-26,Changi,Max Temperature,34.0
2003-05-27,Changi,Max Temperature,34.0
2003-05-31,Changi,Min Temperature,24.0
2003-05-31,Changi,Max Humidity,100.0
2003-06-03,Changi,Max Temperature,34.0
2003-06-04,Changi,Max Temperature,34.0
2003-06-06,Changi,Max Temperature,34.0
2003-06-08,Changi,Max Humidity,100.0
2003-06-12,Changi,Max Humidity,100.0
2003-06-17,Changi,Min Temperature,23.0
2003-06-17,Changi,Max Humidity,100.0
2003-06-20,Changi,Max Temperature,34.0
2003-06-20,Changi,Min Humidity,40.96
2003-06-23,Changi,Max Temperature,34.0
2003-06-25,Changi,Max Humidity,100.0
2003-06-26,Changi,Max Humidity,100.0
2003-07-01,Changi,Max Temperature,32.0
2003-07-01,Changi,Max Humidity,100.0
2003-07-02,Changi,Max Temperature,32.0
2003-07-02,Changi,Max Humidity,100.0
2003-07-04,Changi,Max Humidity,100.0
2003-07-05,Changi,Max Temperature,32.0
2003-07-06,Changi,Max Temperature,32.0
2003-07-07,Changi,Max Temperature,32.0
2003-07-07,Changi,Max Humidity,100.0
2003-07-08,Changi,Min Temperature,23.0
2003-07-09,Changi,Max Temperature,32.0
2003-07-11,Changi,Max Humidity,100.0
2003-07-12,Changi,Max Humidity,100.0
2003-07-14,Changi,Max Temperature,32.0
2003-07-15,Changi,Max Temperature,32.0
2003-07-15,Changi,Max Humidity,100.0
2003-07-16,Changi,Max Humidity,100.0
2003-07-17,Changi,Max Humidity,100.0
2003-07-18,Changi,Max Temperature,32.0
2003-07-19,Changi,Max Humidity,100.0
2003-07-20,Changi,Max Humidity,100.0
2003-07-21,Changi,Max Temperature,32.0
2003-07-23,Changi,Max Temperature,32.0
2003-07-23,Changi,Min Humidity,55.29
2003-07-24,Changi,Max Temperature,32.0
2003-07-25,Changi,Max Temperature,32.0
2003-07-26,Changi,Max Temperature,32.0
2003-07-27,Changi,Max Temperature,32.0
2003-07-28,Changi,Max Temperature,32.0
2003-07-29,Changi,Max Temperature,32.0
2003-07-30,Changi,Max Temperature,32.0
2003-07-31,Changi,Max Temperature,32.0
2003-08-02,Changi,Max Humidity,100.0
2003-08-03,Changi,Max Humidity,100.0
2003-08-05,Changi,Min Temperature,24.0
2003-08-05,Changi,Max Humidity,100.0
2003-08-06,Changi,Max Humidity,100.0
2003-08-12,Changi,Max Temperature,33.0
2003-08-13,Changi,Max Humidity,100.0
2003-08-14,Changi,Max Humidity,100.0
2003-08-15,Changi,Max Humidity,100.0
2003-08-17,Changi,Min Temperature,24.0
